color,center,shape
green,[44 10],circle
blue,[66 14],rectangle
orange,[17 13],circle
gray,[65 45],circle
yellow,[49 32],rectangle
red,[28 21],circle
green,[48 27],rectangle
blue,[25 39],circle
orange,[11 57],circle
gray,[14 28],circle
yellow,[57 43],circle
red,[ 8 18],circle
green,[51  7],rectangle
blue,[28 39],rectangle
orange,[17 51],circle
gray,[30  7],circle
yellow,[40 55],circle
red,[61 30],rectangle
green,[ 7 67],rectangle
blue,[66 10],rectangle
orange,[47  7],circle
gray,[42 48],circle
yellow,[67 46],rectangle
red,[61 23],circle
green,[44 18],circle
blue,[41 48],rectangle
orange,[24 54],circle
gray,[36  5],rectangle
yellow,[13 34],circle
red,[20 23],circle
green,[55 22],circle
blue,[20 69],circle
orange,[69  9],circle
gray,[36 55],circle
yellow,[67 64],rectangle
red,[29 62],circle
green,[34 38],circle
blue,[52 44],circle
orange,[17 35],circle
gray,[67 52],rectangle
yellow,[65 16],rectangle
red,[26 21],rectangle
green,[19 52],rectangle
blue,[44 61],circle
orange,[ 5 45],circle
gray,[40 37],rectangle
yellow,[60 28],circle
red,[50 47],circle
green,[19 41],circle
blue,[35 23],rectangle
orange,[68 50],rectangle
gray,[28 61],circle
yellow,[61 26],circle
red,[50 47],circle
green,[55  8],circle
blue,[59 24],circle
orange,[38 58],circle
gray,[21  9],rectangle
yellow,[17 24],circle
red,[27 17],rectangle
green,[66 58],rectangle
blue,[56 27],circle
orange,[38 37],rectangle
gray,[19 43],circle
yellow,[43 60],rectangle
red,[32 20],rectangle
green,[20 39],circle
blue,[56 16],rectangle
orange,[26 53],rectangle
gray,[ 5 68],circle
yellow,[54 42],circle
red,[45 15],circle
green,[56 27],circle
blue,[42 37],circle
orange,[27  7],rectangle
gray,[54 69],rectangle
yellow,[31 51],rectangle
red,[60 34],circle
green,[17 20],circle
blue,[69 15],circle
orange,[31 32],rectangle
gray,[ 5 62],rectangle
yellow,[37 10],rectangle
red,[37 27],rectangle
green,[57 53],rectangle
blue,[69 36],rectangle
orange,[64 17],rectangle
gray,[ 6 29],rectangle
yellow,[34 42],circle
red,[10 45],rectangle
green,[51 18],rectangle
blue,[ 8 30],circle
orange,[64 48],circle
gray,[25 55],circle
yellow,[28 28],circle
red,[42 63],circle
green,[8 9],rectangle
blue,[49 29],circle
orange,[33 38],circle
gray,[20 63],circle
yellow,[60 12],rectangle
red,[32 23],rectangle
green,[23 55],rectangle
blue,[47 62],circle
orange,[46 17],rectangle
gray,[20  7],circle
yellow,[66 58],circle
red,[42 19],rectangle
green,[33 64],rectangle
blue,[ 5 62],rectangle
orange,[67 25],circle
gray,[66 43],rectangle
yellow,[38 37],rectangle
red,[42 10],circle
green,[39 62],rectangle
blue,[10 17],circle
orange,[62 40],circle
gray,[13 69],circle
yellow,[36 47],circle
red,[51 47],circle
green,[ 5 61],circle
blue,[32 26],circle
orange,[23 54],circle
gray,[64 56],circle
yellow,[14 21],circle
red,[18 52],circle
green,[60 16],rectangle
blue,[59 32],rectangle
orange,[ 8 40],rectangle
gray,[ 5 21],circle
yellow,[52 66],circle
red,[47 61],rectangle
green,[28 15],rectangle
blue,[21 41],rectangle
orange,[12 60],rectangle
gray,[45 25],rectangle
yellow,[69 21],circle
red,[29 46],circle
green,[63 25],circle
blue,[33 67],rectangle
orange,[68 44],rectangle
gray,[69 66],rectangle
yellow,[ 9 26],rectangle
red,[45 63],rectangle
green,[42 23],rectangle
blue,[25 19],rectangle
orange,[10 19],rectangle
gray,[38  5],circle
yellow,[11 54],circle
red,[14  7],rectangle
green,[48 18],circle
blue,[22 56],rectangle
orange,[65 34],circle
gray,[55 52],circle
yellow,[ 9 45],rectangle
red,[12 44],circle
green,[36 11],rectangle
blue,[36 49],circle
orange,[ 6 15],rectangle
gray,[35 66],circle
yellow,[29 29],circle
red,[13 25],circle
green,[65 44],circle
blue,[35 31],circle
orange,[29  9],rectangle
gray,[19 41],rectangle
yellow,[10 61],rectangle
red,[67 69],rectangle
green,[30 48],rectangle
blue,[18 34],rectangle
orange,[42 63],circle
gray,[45 41],rectangle
yellow,[36 12],circle
red,[40 13],circle
green,[67 39],rectangle
blue,[50 60],circle
orange,[23 32],circle
gray,[11 18],rectangle
yellow,[19 55],circle
red,[55 25],circle
green,[10 69],circle
blue,[38 60],circle
orange,[10 10],rectangle
gray,[25  6],rectangle
yellow,[27 34],circle
red,[15 20],circle
green,[23 35],circle
blue,[57 12],rectangle
orange,[52 34],circle
gray,[59 66],rectangle
yellow,[41 12],rectangle
red,[65 54],rectangle
green,[10 32],rectangle
blue,[27 36],circle
orange,[53 69],rectangle
gray,[55 15],circle
yellow,[10 66],circle
red,[52 34],circle
green,[17 20],circle
blue,[31 49],rectangle
orange,[11 66],rectangle
gray,[55 50],circle
yellow,[42 65],circle
red,[50 25],circle
green,[12 20],rectangle
blue,[31 22],circle
orange,[67 57],circle
gray,[35 65],circle
yellow,[63  7],circle
red,[64 35],circle
green,[62  8],circle
blue,[26  7],rectangle
orange,[37 52],rectangle
gray,[14 46],rectangle
yellow,[39 33],circle
red,[ 9 11],circle
green,[14 66],circle
blue,[28 45],circle
orange,[63 56],circle
gray,[65 33],rectangle
yellow,[68  9],rectangle
red,[10 52],rectangle
green,[45 64],circle
blue,[32 17],circle
orange,[19 40],rectangle
gray,[60  8],rectangle
yellow,[49 33],circle
red,[41 49],circle
green,[54 69],rectangle
blue,[66 47],circle
orange,[19 52],circle
gray,[48 14],rectangle
yellow,[30 29],rectangle
red,[62 43],rectangle
green,[34 39],rectangle
blue,[33 54],circle
orange,[18 39],rectangle
gray,[34 11],rectangle
yellow,[18 67],circle
red,[43 68],rectangle
green,[67 35],rectangle
blue,[29 40],circle
orange,[50 14],circle
gray,[32 20],circle
yellow,[12  5],rectangle
red,[35 25],circle
green,[62 45],rectangle
blue,[30 55],circle
orange,[55  7],rectangle
gray,[61 21],rectangle
yellow,[ 7 44],rectangle
red,[ 8 60],rectangle
green,[38 21],circle
blue,[38 61],rectangle
orange,[59 41],rectangle
gray,[56 22],circle
yellow,[35  5],rectangle
red,[69 22],rectangle
green,[51 10],circle
blue,[27 47],rectangle
orange,[21 22],rectangle
gray,[46 38],rectangle
yellow,[ 9 52],rectangle
red,[33 39],rectangle
green,[48 52],circle
blue,[65 56],circle
orange,[17 41],rectangle
gray,[62 34],circle
yellow,[30 11],circle
red,[20 53],rectangle
green,[48 29],rectangle
blue,[63  5],circle
orange,[56 62],circle
gray,[ 8 11],rectangle
yellow,[13 37],rectangle
red,[25 52],circle
green,[52 67],rectangle
blue,[57 29],rectangle
orange,[51 12],circle
gray,[36 28],rectangle
yellow,[52 47],rectangle
red,[33 24],circle
green,[65 32],circle
blue,[ 7 11],rectangle
orange,[19 68],circle
gray,[60 68],rectangle
yellow,[43  9],circle
red,[19 41],circle
green,[52 31],rectangle
blue,[34 11],circle
orange,[43 47],rectangle
gray,[ 7 50],rectangle
yellow,[ 7 67],rectangle
red,[66 44],rectangle
green,[11 21],rectangle
blue,[54 28],rectangle
orange,[37 25],rectangle
gray,[49 13],circle
yellow,[21 40],rectangle
red,[57 28],rectangle
green,[38 26],rectangle
blue,[14 12],circle
orange,[42 66],rectangle
gray,[25 69],rectangle
yellow,[68 53],circle
red,[59 59],circle
green,[ 8 57],rectangle
blue,[53 23],circle
orange,[37 56],rectangle
gray,[26  8],rectangle
yellow,[68 41],rectangle
red,[12 64],rectangle
green,[66 45],circle
blue,[58 15],circle
orange,[50 42],circle
gray,[40 11],rectangle
yellow,[18 29],rectangle
red,[10 18],circle
green,[28 55],rectangle
blue,[39 40],circle
orange,[43  8],circle
gray,[10 61],rectangle
yellow,[26 11],rectangle
red,[37 63],rectangle
green,[37 36],rectangle
blue,[45 16],rectangle
orange,[15 23],rectangle
gray,[67 25],circle
yellow,[10 60],rectangle
red,[56 16],circle
green,[40 67],rectangle
blue,[55 47],circle
orange,[65 61],circle
gray,[ 9 28],rectangle
yellow,[37 14],rectangle
red,[63 24],rectangle
green,[19 66],rectangle
blue,[7 9],circle
orange,[35 39],rectangle
gray,[30  5],rectangle
yellow,[63 65],rectangle
red,[66 67],circle
green,[20 59],rectangle
blue,[47 65],rectangle
orange,[55 46],rectangle
gray,[34 41],rectangle
yellow,[15 27],rectangle
red,[10 30],rectangle
green,[29 17],circle
blue,[24 64],rectangle
orange,[65 30],circle
gray,[38 42],rectangle
yellow,[57 69],circle
red,[33 55],circle
green,[67 30],circle
blue,[61 11],circle
orange,[52 64],circle
gray,[7 8],rectangle
yellow,[46 13],rectangle
red,[17 47],circle
green,[29 25],circle
blue,[46 46],circle
orange,[12 65],rectangle
gray,[68 68],circle
yellow,[36 61],rectangle
red,[25 65],rectangle
green,[19 19],rectangle
blue,[26 36],circle
orange,[48 13],circle
gray,[49 62],rectangle
yellow,[ 7 63],circle
red,[19 39],rectangle
green,[31 11],circle
blue,[37 62],rectangle
orange,[46 44],circle
gray,[ 5 56],circle
yellow,[ 9 21],circle
red,[25  5],circle
green,[55 67],circle
blue,[54 38],rectangle
orange,[53 10],circle
gray,[11 55],circle
yellow,[33 58],rectangle
red,[32 22],circle
green,[64 53],circle
blue,[19 55],rectangle
orange,[ 5 11],circle
gray,[52 34],rectangle
yellow,[67 10],rectangle
red,[38  8],circle
green,[21 62],rectangle
blue,[13 35],circle
orange,[66 23],rectangle
gray,[54 69],circle
yellow,[19 13],circle
red,[68 32],circle
green,[63  9],rectangle
blue,[46 61],circle
orange,[29 48],rectangle
gray,[38 12],rectangle
yellow,[60 53],circle
red,[42 27],circle
green,[61 61],rectangle
blue,[18 37],rectangle
orange,[28  8],circle
gray,[62 36],circle
yellow,[24 66],circle
red,[ 5 42],rectangle
green,[13 21],circle
blue,[56 22],circle
orange,[37  8],rectangle
gray,[68 34],circle
yellow,[ 9 67],rectangle
red,[54 35],circle
green,[ 6 56],rectangle
blue,[23 19],rectangle
orange,[54 58],circle
gray,[33 58],circle
yellow,[65 46],circle
red,[35 23],circle
green,[17 69],rectangle
blue,[31 56],circle
orange,[52 48],rectangle
gray,[58 10],rectangle
yellow,[61 60],circle
red,[42 18],circle
green,[42 68],rectangle
blue,[69 29],rectangle
orange,[19  7],circle
gray,[59 42],rectangle
yellow,[23 56],rectangle
red,[57 46],circle
green,[13 46],rectangle
blue,[21 33],rectangle
orange,[53 65],rectangle
gray,[50 21],rectangle
yellow,[20 11],circle
red,[ 9 24],circle
green,[18 12],circle
blue,[28 69],rectangle
orange,[55  7],circle
gray,[62 59],circle
yellow,[46 25],circle
red,[39 42],rectangle
green,[49 23],circle
blue,[21 69],rectangle
orange,[60 45],rectangle
gray,[13 12],circle
yellow,[54  6],rectangle
red,[68 38],rectangle
green,[16 23],circle
blue,[21 54],rectangle
orange,[45 14],rectangle
gray,[ 8 40],rectangle
yellow,[51 43],circle
red,[50 61],circle
green,[12 25],rectangle
blue,[49 44],circle
orange,[34 66],rectangle
gray,[66 36],circle
yellow,[32 43],rectangle
red,[52 52],rectangle
green,[67 50],rectangle
blue,[11 13],rectangle
orange,[53 10],rectangle
gray,[25 19],circle
yellow,[60 36],rectangle
red,[66 17],rectangle
green,[46 43],rectangle
blue,[22 25],circle
orange,[54  5],circle
gray,[62 56],circle
yellow,[ 5 23],circle
red,[64 44],rectangle
green,[52 56],rectangle
blue,[ 6 69],rectangle
orange,[27 42],rectangle
gray,[66 16],circle
yellow,[24 10],circle
red,[68 30],rectangle
green,[44 51],rectangle
blue,[13  7],rectangle
orange,[19 38],rectangle
gray,[66  6],rectangle
yellow,[23 53],circle
red,[48 50],rectangle
green,[32 18],rectangle
blue,[ 9 54],rectangle
orange,[61  5],rectangle
gray,[66 51],rectangle
yellow,[63 35],circle
red,[35 41],circle
green,[50 65],circle
blue,[66 39],rectangle
orange,[51 34],rectangle
gray,[27 65],circle
yellow,[17 11],rectangle
red,[ 8 54],circle
green,[16 69],circle
blue,[54 21],rectangle
orange,[38 39],circle
gray,[28 58],rectangle
yellow,[50 52],rectangle
red,[20 20],rectangle
green,[62 32],rectangle
blue,[34 40],rectangle
orange,[25 68],rectangle
gray,[53 69],circle
yellow,[ 7 64],circle
red,[62 63],circle
green,[63 19],circle
blue,[42 57],rectangle
orange,[15 62],rectangle
gray,[48 10],circle
yellow,[12  9],circle
red,[69 66],circle
green,[49 53],rectangle
blue,[42  8],rectangle
orange,[35 26],rectangle
gray,[19 14],rectangle
yellow,[35 41],rectangle
red,[37 45],circle
green,[24 29],circle
blue,[56 16],rectangle
orange,[19 55],circle
gray,[52 35],circle
yellow,[11 11],rectangle
red,[45 46],rectangle
green,[27 15],rectangle
blue,[30 34],circle
orange,[ 9 65],circle
gray,[30 65],circle
yellow,[46 66],rectangle
red,[54 64],circle
green,[11 44],circle
blue,[69 58],circle
orange,[57 48],circle
gray,[25 54],circle
yellow,[56 13],rectangle
red,[ 7 10],rectangle
green,[47 23],rectangle
blue,[25 40],rectangle
orange,[65 15],circle
gray,[41 51],rectangle
yellow,[41  8],circle
red,[23 67],circle
green,[25 38],circle
blue,[69 47],rectangle
orange,[41 52],rectangle
gray,[42 19],rectangle
yellow,[57 60],rectangle
red,[55 17],rectangle
green,[59 32],rectangle
blue,[24 29],circle
orange,[60 65],circle
gray,[46 40],rectangle
yellow,[44 58],rectangle
red,[11 55],rectangle
green,[30 26],circle
blue,[16  5],rectangle
orange,[47 62],circle
gray,[43  5],rectangle
yellow,[67 27],rectangle
red,[28 17],rectangle
green,[50 57],circle
blue,[52 28],rectangle
orange,[ 5 10],circle
gray,[12 24],circle
yellow,[60 14],rectangle
red,[55 15],rectangle
green,[41 53],circle
blue,[ 9 46],circle
orange,[11 15],circle
gray,[55 36],circle
yellow,[24 39],rectangle
red,[65 65],rectangle
green,[16 58],rectangle
blue,[43 34],rectangle
orange,[46 58],rectangle
gray,[60 23],circle
yellow,[ 9 13],circle
red,[41 45],rectangle
green,[64 23],circle
blue,[ 9 30],circle
orange,[22 60],rectangle
gray,[5 7],rectangle
yellow,[23 21],circle
red,[21 52],circle
green,[68 69],circle
blue,[41 34],rectangle
orange,[51 11],rectangle
gray,[38 50],circle
yellow,[12 28],circle
red,[66 18],rectangle
green,[21 55],circle
blue,[15 15],rectangle
orange,[28 34],rectangle
gray,[63 35],circle
yellow,[64 56],circle
red,[67 38],rectangle
green,[14 25],circle
blue,[35  9],rectangle
orange,[26 68],circle
gray,[44 41],rectangle
yellow,[47 67],rectangle
red,[27 47],rectangle
green,[ 6 43],circle
blue,[23 66],circle
orange,[67  9],rectangle
gray,[54 50],circle
yellow,[69 61],circle
red,[13 61],circle
green,[12 22],rectangle
blue,[53 20],circle
orange,[44 55],rectangle
gray,[60 48],rectangle
yellow,[67 32],circle
red,[11 20],rectangle
green,[35 10],circle
blue,[63 32],rectangle
orange,[41 49],rectangle
gray,[38 64],circle
yellow,[20 54],rectangle
red,[58 65],rectangle
green,[54 45],circle
blue,[58  9],circle
orange,[44 26],rectangle
gray,[22 53],rectangle
yellow,[64 25],rectangle
red,[22 17],rectangle
green,[16 64],rectangle
blue,[ 5 47],circle
orange,[68 38],rectangle
gray,[37 34],circle
yellow,[38 19],rectangle
red,[20 24],circle
green,[62 43],rectangle
blue,[40 25],rectangle
orange,[16 60],rectangle
gray,[44 45],rectangle
yellow,[10 37],rectangle
red,[58 28],rectangle
green,[26 20],circle
blue,[66 47],circle
orange,[36 61],circle
gray,[23 40],circle
yellow,[10 56],circle
red,[10 59],circle
green,[25 55],circle
blue,[12 20],circle
orange,[68  6],rectangle
gray,[22 36],rectangle
yellow,[53 37],circle
red,[ 9 68],circle
green,[31 49],rectangle
blue,[30 27],circle
orange,[ 7 33],rectangle
gray,[10 15],circle
yellow,[33 64],rectangle
red,[21 52],circle
green,[60 21],circle
blue,[42 22],rectangle
orange,[41 45],circle
gray,[18  5],rectangle
yellow,[59 57],rectangle
red,[ 5 67],rectangle
green,[25 34],rectangle
blue,[61  7],circle
orange,[49 40],circle
gray,[68 58],circle
yellow,[15 15],circle
red,[49 55],circle
green,[37 19],rectangle
blue,[67  9],circle
orange,[56 20],rectangle
gray,[13 30],circle
yellow,[14 67],rectangle
red,[26 58],circle
green,[55 67],rectangle
blue,[40 33],rectangle
orange,[29 20],circle
gray,[24 40],circle
yellow,[62 52],rectangle
red,[10 66],rectangle
green,[13 20],rectangle
blue,[59 44],rectangle
orange,[39 63],rectangle
gray,[55 23],circle
yellow,[34 42],circle
red,[10 53],rectangle
green,[26 52],circle
blue,[44 22],circle
orange,[17 31],rectangle
gray,[49  7],circle
yellow,[59 37],rectangle
red,[18 53],circle
green,[13 25],rectangle
blue,[60 61],rectangle
orange,[50 42],circle
gray,[63 31],circle
yellow,[32 44],circle
red,[12 67],circle
green,[67  7],rectangle
blue,[49 57],rectangle
orange,[23 50],circle
gray,[22 16],rectangle
yellow,[42 32],rectangle
red,[33 13],circle
green,[67 62],rectangle
blue,[17 23],circle
orange,[16 47],circle
gray,[33 59],circle
yellow,[ 9 64],rectangle
red,[60 21],rectangle
green,[48  6],circle
blue,[23  5],circle
orange,[52 60],circle
gray,[63 43],circle
yellow,[48 39],rectangle
red,[ 8 45],rectangle
green,[67 65],circle
blue,[43 10],rectangle
orange,[29 69],rectangle
gray,[8 5],rectangle
yellow,[49 69],rectangle
red,[38 15],circle
green,[52 28],rectangle
blue,[58 59],rectangle
orange,[25 63],circle
gray,[ 7 28],rectangle
yellow,[23 47],circle
red,[68  6],rectangle
green,[19 18],circle
blue,[24 62],rectangle
orange,[53 61],rectangle
gray,[40 15],rectangle
yellow,[ 7 52],circle
red,[22 49],circle
green,[37 67],circle
blue,[31 29],circle
orange,[64 58],rectangle
gray,[40 43],rectangle
yellow,[ 8 69],rectangle
red,[41 28],circle
green,[45 55],circle
blue,[ 8 64],circle
orange,[ 9 10],circle
gray,[30 12],rectangle
yellow,[69 33],rectangle
red,[40 32],rectangle
green,[11 65],circle
blue,[10 28],rectangle
orange,[55 49],rectangle
gray,[29 14],rectangle
yellow,[29 49],rectangle
red,[ 7 30],circle
green,[51  6],circle
blue,[25 48],circle
orange,[ 6 63],rectangle
gray,[30 20],rectangle
yellow,[65 53],circle
red,[65 50],rectangle
green,[29 65],circle
blue,[18 49],rectangle
orange,[43 36],rectangle
gray,[60 10],circle
yellow,[7 9],rectangle
red,[29 14],rectangle
green,[36 37],circle
blue,[54 65],circle
orange,[ 6 35],rectangle
gray,[58 32],rectangle
yellow,[52  6],circle
red,[20 48],circle
green,[69 33],circle
blue,[34 36],circle
orange,[55 12],circle
gray,[40 60],rectangle
yellow,[65 66],circle
red,[25 62],rectangle
green,[42 30],circle
blue,[13 36],circle
orange,[ 9 10],rectangle
gray,[60 48],rectangle
yellow,[46 15],circle
red,[13 18],circle
green,[ 5 69],rectangle
blue,[51 44],circle
orange,[45 61],rectangle
gray,[ 8 52],circle
yellow,[30 40],rectangle
red,[62 39],circle
green,[57 55],circle
blue,[10 38],circle
orange,[29 17],rectangle
gray,[ 9 15],rectangle
yellow,[48  6],circle
red,[61 43],circle
green,[66 66],circle
blue,[30 55],rectangle
orange,[40 30],circle
gray,[12 27],circle
yellow,[26 13],rectangle
red,[64 34],circle
green,[50 47],rectangle
blue,[66 65],rectangle
orange,[34 15],rectangle
gray,[ 9 17],rectangle
yellow,[29 48],circle
red,[22 26],rectangle
green,[42 29],rectangle
blue,[17 62],circle
orange,[54 42],circle
gray,[31 40],circle
yellow,[35 10],rectangle
red,[23  6],circle
green,[68 19],rectangle
blue,[21 28],rectangle
orange,[34 55],rectangle
gray,[7 9],rectangle
yellow,[52 50],rectangle
red,[61 18],rectangle
green,[20 22],rectangle
blue,[24 50],rectangle
orange,[15 69],rectangle
gray,[43 48],circle
yellow,[47  8],circle
red,[45 43],rectangle
green,[61 41],circle
blue,[55 12],rectangle
orange,[15 26],rectangle
gray,[15 64],circle
yellow,[19 42],rectangle
red,[31 45],circle
green,[60 23],circle
blue,[37 27],rectangle
orange,[26 63],circle
gray,[61 48],rectangle
yellow,[58 69],rectangle
red,[55 60],rectangle
green,[38 63],rectangle
blue,[14 27],rectangle
orange,[27 38],rectangle
gray,[22 65],rectangle
yellow,[24 15],circle
red,[34 23],rectangle
green,[67 30],circle
blue,[ 9 58],rectangle
orange,[33 48],rectangle
gray,[19 22],rectangle
yellow,[54 16],circle
red,[43 60],rectangle
green,[ 7 27],circle
blue,[30 22],rectangle
orange,[50 35],rectangle
gray,[67 56],rectangle
yellow,[28 62],rectangle
red,[58 48],circle
green,[20 16],rectangle
blue,[52 12],rectangle
orange,[14 56],rectangle
gray,[45 59],rectangle
yellow,[35 14],rectangle
red,[51 46],circle
green,[21 24],circle
